Entity,Code,Year,Life expectancy
Gambia,GMB,1956,31.144
Georgia,GEO,1956,62.048
Germany,DEU,1956,68.537
Ghana,GHA,1956,43.956
Gibraltar,GIB,1956,70.569
Greece,GRC,1956,66.668
Greenland,GRL,1956,54.183
Grenada,GRD,1956,60.368
Guadeloupe,GLP,1956,56.106
Guam,GUM,1956,58.909
Guatemala,GTM,1956,44.693
Guinea,GIN,1956,33.979
Guinea-Bissau,GNB,1956,36.467
Guyana,GUY,1956,59.525
Haiti,HTI,1956,39.806
Honduras,HND,1956,43.671
Hong Kong,HKG,1956,65.048
Hungary,HUN,1956,66.182
Iceland,ISL,1956,73.012
India,IND,1956,39.038
Indonesia,IDN,1956,44.112
Iran,IRN,1956,42.631
Iraq,IRQ,1956,42.963
Ireland,IRL,1956,68.627
Isle of Man,IMN,1956,70.323
Israel,ISR,1956,69.721
Italy,ITA,1956,67.951
Jamaica,JAM,1956,62.687
Japan,JPN,1956,65.437
Jordan,JOR,1956,49.43
Kazakhstan,KAZ,1956,56.656
Kenya,KEN,1956,44.247
Kiribati,KIR,1956,45.197
Kuwait,KWT,1956,56.26
Kyrgyzstan,KGZ,1956,54.413
Laos,LAO,1956,41.979
Latin America and the Caribbean,,1956,53.43
Latvia,LVA,1956,66.391
Lebanon,LBN,1956,61.89
Lesotho,LSO,1956,46.632
Liberia,LBR,1956,33.369
Libya,LBY,1956,37.597
Liechtenstein,LIE,1956,69.077
Lithuania,LTU,1956,65.463
Luxembourg,LUX,1956,67.082
Macao,MAC,1956,62.819
Madagascar,MDG,1956,38.02
Malawi,MWI,1956,35.611
Malaysia,MYS,1956,57.569
Maldives,MDV,1956,35.406
Mali,MLI,1956,27.705
Malta,MLT,1956,68.131
Marshall Islands,MHL,1956,54.896
Martinique,MTQ,1956,57.934
Mauritania,MRT,1956,41.737
Mauritius,MUS,1956,54.132
Mayotte,MYT,1956,51.316
Mexico,MEX,1956,54.075
Micronesia (country),FSM,1956,52.774
Moldova,MDA,1956,60.495
Monaco,MCO,1956,66.963
Mongolia,MNG,1956,45.014
Montenegro,MNE,1956,61.263
Montserrat,MSR,1956,60.381
Morocco,MAR,1956,46.874
Mozambique,MOZ,1956,37.171
Myanmar,MMR,1956,39.789
Namibia,NAM,1956,43.394
Nauru,NRU,1956,47.191
Nepal,NPL,1956,34.684
Netherlands,NLD,1956,72.703
New Caledonia,NCL,1956,53.504
New Zealand,NZL,1956,70.474
Nicaragua,NIC,1956,44.477
Niger,NER,1956,34.702
Nigeria,NGA,1956,35.162
Niue,NIU,1956,61.463
North Korea,PRK,1956,47.505
North Macedonia,MKD,1956,57.859
Northern America,,1956,69.467
Northern Mariana Islands,MNP,1956,56.228
Norway,NOR,1956,73.361
Oceania,,1956,61.14
Oman,OMN,1956,39.232
Pakistan,PAK,1956,41.355
Palau,PLW,1956,57.594
Palestine,PSE,1956,47.615
Panama,PAN,1956,58.706
Papua New Guinea,PNG,1956,36.489
Paraguay,PRY,1956,63.052
Peru,PER,1956,45.627
Philippines,PHL,1956,58.986
Poland,POL,1956,64.83
Portugal,PRT,1956,61.741
Puerto Rico,PRI,1956,66.996
Qatar,QAT,1956,58.041
Reunion,REU,1956,51.936
Romania,ROU,1956,62.388
Russia,RUS,1956,63.346
Rwanda,RWA,1956,41.265
Saint Barthlemy,,1956,56.013
Saint Helena,SHN,1956,61.767
Saint Kitts and Nevis,KNA,1956,55.288
Saint Lucia,LCA,1956,53.329
Saint Martin (French part),MAF,1956,56.126
Saint Pierre and Miquelon,SPM,1956,64.121
Saint Vincent and the Grenadines,VCT,1956,56.357
Samoa,WSM,1956,55.69
San Marino,SMR,1956,67.365
Sao Tome and Principe,STP,1956,48.288
Saudi Arabia,SAU,1956,43.653
Senegal,SEN,1956,37.001
Serbia,SRB,1956,60.833
Seychelles,SYC,1956,62.627
Sierra Leone,SLE,1956,30.169
Singapore,SGP,1956,63.095
Sint Maarten (Dutch part),SXM,1956,63.61
Slovakia,SVK,1956,67.691
Slovenia,SVN,1956,67.343
Solomon Islands,SLB,1956,44.833
Somalia,SOM,1956,35.392
South Africa,ZAF,1956,46.726
South Korea,KOR,1956,50.552
South Sudan,SSD,1956,29.856
Spain,ESP,1956,66.925
Sri Lanka,LKA,1956,57.389
Sudan,SDN,1956,46.371
Suriname,SUR,1956,57.982
Sweden,SWE,1956,72.638
Switzerland,CHE,1956,70.357
Syria,SYR,1956,49.631
Taiwan,TWN,1956,61.831
Tajikistan,TJK,1956,49.328
Tanzania,TZA,1956,42.43
Thailand,THA,1956,52.528
Timor,TLS,1956,31.728
Togo,TGO,1956,37.67
Tokelau,TKL,1956,62.042
Tonga,TON,1956,58.344
Trinidad and Tobago,TTO,1956,60.163
Tunisia,TUN,1956,39.994
Turkey,TUR,1956,42.757
Turkmenistan,TKM,1956,52.781
Turks and Caicos Islands,TCA,1956,57.653
Tuvalu,TUV,1956,47.217
Uganda,UGA,1956,42.065
Ukraine,UKR,1956,65.874
United Arab Emirates,ARE,1956,47.414
United Kingdom,GBR,1956,70.345
United States,USA,1956,69.441
United States Virgin Islands,VIR,1956,64.883
Uruguay,URY,1956,66.785
Uzbekistan,UZB,1956,57.357
Vanuatu,VUT,1956,46.913
Vatican,VAT,1956,52.74
Venezuela,VEN,1956,57.541
Vietnam,VNM,1956,56.238
Wallis and Futuna,WLF,1956,54.22
Western Sahara,ESH,1956,36.858
World,OWID_WRL,1956,48.702
Yemen,YEM,1956,29.463
Zambia,ZMB,1956,44.878
Zimbabwe,ZWE,1956,51.197
Afghanistan,AFG,1957,30.882
Africa,,1957,39.799
Albania,ALB,1957,58.969
Algeria,DZA,1957,44.786
American Samoa,ASM,1957,65.55
Americas,,1957,61.63176706
Andorra,AND,1957,67.522
Angola,AGO,1957,36.755
Anguilla,AIA,1957,58.664
Antigua and Barbuda,ATG,1957,60.185
Argentina,ARG,1957,64.441
Armenia,ARM,1957,64.704
Aruba,ABW,1957,64.086
Asia,,1957,44.224
Australia,AUS,1957,70.37
Austria,AUT,1957,67.904
Azerbaijan,AZE,1957,60.239
Bahamas,BHS,1957,64.195
Bahrain,BHR,1957,47.903
Bangladesh,BGD,1957,43.582
Barbados,BRB,1957,61.686
Belarus,BLR,1957,65.936
Belgium,BEL,1957,69.343
Belize,BLZ,1957,58.366
Benin,BEN,1957,35.895
Bermuda,BMU,1957,67.846
Bhutan,BTN,1957,33.583
Bolivia,BOL,1957,40.883
Bonaire Sint Eustatius and Saba,BES,1957,64.229
Bosnia and Herzegovina,BIH,1957,58.069
Botswana,BWA,1957,47.563
Brazil,BRA,1957,52.725
British Virgin Islands,VGB,1957,61.701
Brunei,BRN,1957,52.208
Bulgaria,BGR,1957,66.467
Burkina Faso,BFA,1957,33.053
Burundi,BDI,1957,40.375
Cambodia,KHM,1957,40.988
Cameroon,CMR,1957,40.398
Canada,CAN,1957,70.208
Cape Verde,CPV,1957,48.141
Cayman Islands,CYM,1957,59.458
Central African Republic,CAF,1957,34.87
Chad,TCD,1957,37.226
Channel Islands,OWID_CIS,1957,70.369
Chile,CHL,1957,56.109
China,CHN,1957,44.082
Colombia,COL,1957,55.417
Comoros,COM,1957,40.278
Congo,COG,1957,43.725
Cook Islands,COK,1957,53.878
Costa Rica,CRI,1957,58.476
Cote d'Ivoire,CIV,1957,33.532
Croatia,HRV,1957,63.429
Cuba,CUB,1957,62.046
Curacao,CUW,1957,64.062
Cyprus,CYP,1957,68.559
Czechia,CZE,1957,69.441
Democratic Republic of Congo,COD,1957,40.409
Denmark,DNK,1957,71.996
Djibouti,DJI,1957,42.744
Dominica,DMA,1957,57.805
Dominican Republic,DOM,1957,49.426
Ecuador,ECU,1957,51.237
Egypt,EGY,1957,45.94
El Salvador,SLV,1957,47.817
Equatorial Guinea,GNQ,1957,35.513
Eritrea,ERI,1957,36.422
Estonia,EST,1957,66.601
Eswatini,SWZ,1957,42.37
Ethiopia,ETH,1957,36.421
Europe,,1957,66.893
Faeroe Islands,FRO,1957,70.255
Falkland Islands,FLK,1957,70.291
Fiji,FJI,1957,59.304
Finland,FIN,1957,68.065
France,FRA,1957,69.239
French Guiana,GUF,1957,55.783
French Polynesia,PYF,1957,54.439
Gabon,GAB,1957,38.762
Gambia,GMB,1957,31.366
Georgia,GEO,1957,62.447
Germany,DEU,1957,68.797
Ghana,GHA,1957,44.445
Gibraltar,GIB,1957,70.744
Greece,GRC,1957,67.036
Greenland,GRL,1957,55.078
Grenada,GRD,1957,60.854
Guadeloupe,GLP,1957,56.837
Guam,GUM,1957,59.423
Guatemala,GTM,1957,45.192
Guinea,GIN,1957,34.221
Guinea-Bissau,GNB,1957,36.714
Guyana,GUY,1957,59.713
Haiti,HTI,1957,40.352
Honduras,HND,1957,44.289
Hong Kong,HKG,1957,65.629
Hungary,HUN,1957,66.706
Iceland,ISL,1957,73.157
India,IND,1957,39.63
Indonesia,IDN,1957,44.764
Iran,IRN,1957,43.215
Iraq,IRQ,1957,44.281
Ireland,IRL,1957,68.984
Isle of Man,IMN,1957,70.501
Israel,ISR,1957,69.94
Italy,ITA,1957,68.28
Jamaica,JAM,1957,63.331
Japan,JPN,1957,66.099
Jordan,JOR,1957,50.248
Kazakhstan,KAZ,1957,57.098
Kenya,KEN,1957,44.834
Kiribati,KIR,1957,45.652
Kuwait,KWT,1957,57.035
Kyrgyzstan,KGZ,1957,54.865
Laos,LAO,1957,42.284
Latin America and the Caribbean,,1957,53.983
Latvia,LVA,1957,67.258
Lebanon,LBN,1957,62.257
Lesotho,LSO,1957,47.006
Liberia,LBR,1957,33.573
Libya,LBY,1957,38.54
Liechtenstein,LIE,1957,69.425
Lithuania,LTU,1957,66.461
Luxembourg,LUX,1957,67.417
Macao,MAC,1957,63.334
Madagascar,MDG,1957,38.506
Malawi,MWI,1957,35.867
Malaysia,MYS,1957,58.226
Maldives,MDV,1957,35.816
Mali,MLI,1957,27.844
Malta,MLT,1957,68.568
Marshall Islands,MHL,1957,55.006
Martinique,MTQ,1957,58.574
Mauritania,MRT,1957,42.392
Mauritius,MUS,1957,55.321
Mayotte,MYT,1957,52.335
Mexico,MEX,1957,54.913
Micronesia (country),FSM,1957,53.204
Moldova,MDA,1957,60.88
Monaco,MCO,1957,67.654
Mongolia,MNG,1957,45.769
Montenegro,MNE,1957,61.842
Montserrat,MSR,1957,60.941
Morocco,MAR,1957,47.252
Mozambique,MOZ,1957,37.78
Myanmar,MMR,1957,40.528
Namibia,NAM,1957,44.171
Nauru,NRU,1957,47.63
Nepal,NPL,1957,34.836
Netherlands,NLD,1957,72.875
New Caledonia,NCL,1957,54.25
New Zealand,NZL,1957,70.634
Nicaragua,NIC,1957,45.103
Niger,NER,1957,34.783
Nigeria,NGA,1957,35.6
Niue,NIU,1957,61.981
North Korea,PRK,1957,49.021
North Macedonia,MKD,1957,58.603
Northern America,,1957,69.632
Northern Mariana Islands,MNP,1957,56.72
Norway,NOR,1957,73.431
Oceania,,1957,61.603
Oman,OMN,1957,40.111
Pakistan,PAK,1957,42.391
Palau,PLW,1957,57.712
Palestine,PSE,1957,47.995
Panama,PAN,1957,59.252
Papua New Guinea,PNG,1957,37.121
Paraguay,PRY,1957,63.229
Peru,PER,1957,46.181
Philippines,PHL,1957,59.588
Poland,POL,1957,65.576
Portugal,PRT,1957,62.157
Puerto Rico,PRI,1957,67.608
Qatar,QAT,1957,58.812
Reunion,REU,1957,52.96
Romania,ROU,1957,63.128
Russia,RUS,1957,64.401
Rwanda,RWA,1957,41.601
Saint Barthlemy,,1957,56.761
Saint Helena,SHN,1957,62.34
Saint Kitts and Nevis,KNA,1957,55.981
Saint Lucia,LCA,1957,54.175
Saint Martin (French part),MAF,1957,56.873
Saint Pierre and Miquelon,SPM,1957,64.716
Saint Vincent and the Grenadines,VCT,1957,57.127
Samoa,WSM,1957,56.008
San Marino,SMR,1957,68.059
Sao Tome and Principe,STP,1957,48.791
Saudi Arabia,SAU,1957,44.145
Senegal,SEN,1957,37.373
Serbia,SRB,1957,61.346
Seychelles,SYC,1957,62.82
Sierra Leone,SLE,1957,30.527
Singapore,SGP,1957,63.784
Sint Maarten (Dutch part),SXM,1957,64.235
Slovakia,SVK,1957,68.408
Slovenia,SVN,1957,67.748
Solomon Islands,SLB,1957,45.659
Somalia,SOM,1957,35.789
South Africa,ZAF,1957,47.186
South Korea,KOR,1957,52.142
South Sudan,SSD,1957,30.345
Spain,ESP,1957,67.492
Sri Lanka,LKA,1957,57.981
Sudan,SDN,1957,46.85
Suriname,SUR,1957,58.457
Sweden,SWE,1957,72.81
Switzerland,CHE,1957,70.589
Syria,SYR,1957,50.212
Taiwan,TWN,1957,62.574
Tajikistan,TJK,1957,49.652
Tanzania,TZA,1957,42.757
Thailand,THA,1957,53.062
Timor,TLS,1957,32.229
Togo,TGO,1957,38.334
Tokelau,TKL,1957,62.613
Tonga,TON,1957,58.729
Trinidad and Tobago,TTO,1957,60.718
Tunisia,TUN,1957,40.432
Turkey,TUR,1957,43.358
Turkmenistan,TKM,1957,53.204
Turks and Caicos Islands,TCA,1957,58.335
Tuvalu,TUV,1957,47.689
Uganda,UGA,1957,42.628
Ukraine,UKR,1957,66.747
United Arab Emirates,ARE,1957,48.443
United Kingdom,GBR,1957,70.517
United States,USA,1957,69.598
United States Virgin Islands,VIR,1957,65.297
Uruguay,URY,1957,67.028
Uzbekistan,UZB,1957,57.725
Vanuatu,VUT,1957,47.431
Vatican,VAT,1957,53.237
Venezuela,VEN,1957,58.125
Vietnam,VNM,1957,56.96
Wallis and Futuna,WLF,1957,54.786
Western Sahara,ESH,1957,37.237
World,OWID_WRL,1957,49.074
Yemen,YEM,1957,29.536
Zambia,ZMB,1957,45.347
Zimbabwe,ZWE,1957,51.645
Afghanistan,AFG,1958,31.403
Africa,,1958,40.299
Albania,ALB,1958,60.065
Algeria,DZA,1958,45.232
American Samoa,ASM,1958,65.813
Americas,,1958,61.94457224
Andorra,AND,1958,68.145
Angola,AGO,1958,36.996
Anguilla,AIA,1958,59.26
Antigua and Barbuda,ATG,1958,60.793
Argentina,ARG,1958,64.694
Armenia,ARM,1958,65.124
Aruba,ABW,1958,64.676
Asia,,1958,44.522
Australia,AUS,1958,70.521
Austria,AUT,1958,68.249
Azerbaijan,AZE,1958,60.532
Bahamas,BHS,1958,64.394
Bahrain,BHR,1958,49.185
Bangladesh,BGD,1958,44.19
Barbados,BRB,1958,62.72
Belarus,BLR,1958,66.748
Belgium,BEL,1958,69.586
Belize,BLZ,1958,58.901
Benin,BEN,1958,36.357
Bermuda,BMU,1958,68.283
Bhutan,BTN,1958,33.882
Bolivia,BOL,1958,41.186
Bonaire Sint Eustatius and Saba,BES,1958,64.791
Bosnia and Herzegovina,BIH,1958,58.882
Botswana,BWA,1958,48.118
Brazil,BRA,1958,53.187
British Virgin Islands,VGB,1958,62.194
Brunei,BRN,1958,52.971
Bulgaria,BGR,1958,67.312
Burkina Faso,BFA,1958,33.512
Burundi,BDI,1958,40.674
Cambodia,KHM,1958,41.067
Cameroon,CMR,1958,40.853
Canada,CAN,1958,70.438
Cape Verde,CPV,1958,48.224
Cayman Islands,CYM,1958,59.956
Central African Republic,CAF,1958,35.33
Chad,TCD,1958,37.492
Channel Islands,OWID_CIS,1958,70.515
Chile,CHL,1958,56.469
China,CHN,1958,43.858
Colombia,COL,1958,56.076
Comoros,COM,1958,40.66
Congo,COG,1958,44.411
Cook Islands,COK,1958,54.603
Costa Rica,CRI,1958,59.101
Cote d'Ivoire,CIV,1958,34.375
Croatia,HRV,1958,63.877
Cuba,CUB,1958,62.636
Curacao,CUW,1958,64.621
Cyprus,CYP,1958,68.924
Czechia,CZE,1958,69.776
Democratic Republic of Congo,COD,1958,40.651
Denmark,DNK,1958,72.111
Djibouti,DJI,1958,43.17
Dominica,DMA,1958,58.382
Dominican Republic,DOM,1958,50.162
Ecuador,ECU,1958,51.824
Egypt,EGY,1958,46.72
El Salvador,SLV,1958,48.539
Equatorial Guinea,GNQ,1958,35.855
Eritrea,ERI,1958,37.073
Estonia,EST,1958,67.336
Eswatini,SWZ,1958,42.783
Ethiopia,ETH,1958,37.071
Europe,,1958,67.444
Faeroe Islands,FRO,1958,70.531
Falkland Islands,FLK,1958,70.43
Fiji,FJI,1958,59.885
Finland,FIN,1958,68.319
France,FRA,1958,69.586
French Guiana,GUF,1958,56.372
French Polynesia,PYF,1958,55.176
Gabon,GAB,1958,39.065
Gambia,GMB,1958,31.584
Georgia,GEO,1958,62.846
Germany,DEU,1958,69.044
Ghana,GHA,1958,44.924
Gibraltar,GIB,1958,70.885
Greece,GRC,1958,67.432
Greenland,GRL,1958,56.031
Grenada,GRD,1958,61.327
Guadeloupe,GLP,1958,57.547
Guam,GUM,1958,59.939
Guatemala,GTM,1958,45.692
Guinea,GIN,1958,34.456
Guinea-Bissau,GNB,1958,36.963
Guyana,GUY,1958,59.897
