,Linkas,Adresas,Kaina,€/S,Aukštas,Plotas,Kambariai
35,https://www.aruodas.lt/butai-vilniuje-antakalnyje-rudens-g-butas-is-esmes-tvarkingos-bukles-bet-jau-1-3356803/,"Antakalnis, Rudens g.",275 000 €,2553€/m²,3/5,107.72,4
36,https://www.aruodas.lt/butai-vilniuje-seskineje-dukstu-g-parduodamas-erdvus-rocionalaus-isplanavimo-1-3385036/,"Šeškinė, Dūkštų g.",110 900 €,2218€/m²,5/5,50,2
37,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-vytenio-g-parduodamas-tvarkingas-kambariu-butas-1-3367642/,"Naujamiestis, Vytenio g.",114 000 €,2714€/m²,1/5,42,2
38,https://www.aruodas.lt/butai-vilniuje-virsuliskese-juozo-rutkausko-g-naujai-irengtas-kambario-butas-naujos-1-3384460/,"Viršuliškės, Juozo Rutkausko g.",145 000 €,3816€/m²,6/16,38,2
39,https://www.aruodas.lt/butai-vilniuje-zveryne-seliu-g-parduodami-unikalus-tik-ka-irengti-stilingi-1-3383804/,"Žvėrynas, Sėlių g.",202 742 €,5963€/m²,2/3,34,1
40,https://www.aruodas.lt/butai-vilniuje-virsuliskese-virsuliskiu-g-nt-brokeriu-paslaugos-nedomina-parduodamas-1-3382086/,"Viršuliškės, Viršuliškių g.",185 000 €,4205€/m²,7/11,44,2
41,https://www.aruodas.lt/butai-vilniuje-justiniskese-justiniskiu-g-parduodamas-erdvus-m-butas-puikioje-1-3383512/,"Justiniškės, Justiniškių g.",139 000 €,1927€/m²,14/18,72.13,3
42,https://www.aruodas.lt/butai-vilniuje-lazdynuose-architektu-g-be-tarpininku-brokeriu-prasome-netrukdyti-1-3383384/,"Lazdynai, Architektų g.",110 000 €,1415€/m²,4/5,77.74,4
43,https://www.aruodas.lt/butai-vilniuje-snipiskese-lvivo-g-parduodamas-puikioje-lokacijoje-esantis-1-3379566/,"Šnipiškės, Lvivo g.",260 000 €,4117€/m²,5/7,63.15,2
44,https://www.aruodas.lt/butai-vilniuje-zirmunuose-zirmunu-g-parduodamas-loftas-su-antresole-busto-1-3372806/,"Žirmūnai, Žirmūnų g.",80 000 €,2424€/m²,3/3,33,2
45,https://www.aruodas.lt/butai-vilniuje-paupyje-aukstaiciu-g-ko-gero-graziausiame-vilniaus-rajone-1-3382686/,"Paupys, Aukštaičių g.",220 000 €,6286€/m²,3/3,35,1
46,https://www.aruodas.lt/butai-vilniuje-lazdynuose-zerucio-g-parduodamas-erdvus-tvarkingas-irengtas-k-1-3316771/,"Lazdynai, Žėručio g.",195 000 €,2500€/m²,2/5,78,4
47,https://www.aruodas.lt/butai-vilniuje-lazdynuose-siltnamiu-g-namas-renovuotas-renovacija-ismoketa-atskiri-1-3381960/,"Lazdynai, Šiltnamių g.",138 000 €,2136€/m²,1/5,64.6,3
48,https://www.aruodas.lt/butai-vilniuje-lazdyneliuose-jonazoliu-g-parduodamas-siltas-ir-jaukus-su-puikiu-vaizdu-1-3381672/,"Lazdynėliai, Jonažolių g.",249 500 €,2549€/m²,6/9,97.88,4
49,https://www.aruodas.lt/butai-vilniuje-baltupiuose-baltupio-g-buta-parduoda-savininkas-butas-siuo-metu-yra-1-3316281/,"Baltupiai, Baltupio g.",108 000 €,2019€/m²,4/12,53.5,3
50,https://www.aruodas.lt/butai-vilniuje-zirmunuose-minties-g-parduodamas-naujai-irengtas-u-kambariu-1-3380306/,"Žirmūnai, Minties g.",95 800 €,3139€/m²,5/5,30.52,2
51,https://www.aruodas.lt/butai-vilniuje-karoliniskese-loretos-asanaviciutes-g-1-3380988/,"Karoliniškės, Loretos Asanavičiūtės g.",125 000 €,3858€/m²,2/12,32.4,2
52,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-budiniskiu-g-parduodamas-naujai-irengtas-kambariu-butas-1-3352069/,"Pašilaičiai, Budiniškių g.",195 000 €,3545€/m²,5/7,55,3
53,https://www.aruodas.lt/butai-vilniuje-zirmunuose-kareiviu-g-parduodamas-vieno-kambario-butas-su-virtuves-1-3380638/,"Žirmūnai, Kareivių g.",47 500 €,3654€/m²,2/5,13,1
54,https://www.aruodas.lt/butai-vilniuje-justiniskese-mozuriskiu-g-tarpininku-ir-nt-brokeriu-neskambinti-1-3380612/,"Justiniškės, Mozūriškių g.",172 000 €,2255€/m²,2/4,76.29,3
55,https://www.aruodas.lt/butai-vilniuje-turniskese-turniskiu-g-ka-siai-dienai-geriausio-galime-tureti-tai-1-3380516/,"Turniškės, Turniškių g.",830 000 €,5764€/m²,3/3,144,5
56,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-algirdo-g-parduodamos-naujai-irengtos-studijos-kv-1-3380430/,"Naujamiestis, Algirdo g.",60 000 €,3429€/m²,3/5,17.5,1
57,https://www.aruodas.lt/butai-vilniuje-siaures-miestelyje-zygio-g-butas-viename-kokybiskiausiai-siaures-1-3379700/,"Šiaurės miestelis, Žygio g.",166 850 €,3504€/m²,9/9,47.62,2
58,https://www.aruodas.lt/butai-vilniuje-lazdyneliuose-jonazoliu-g-parduodamas-sviesus-erdvus-jaukus-siltas-1-3379498/,"Lazdynėliai, Jonažolių g.",167 000 €,2640€/m²,5/6,63.25,2
59,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-perkunkiemio-g-pasilaiciuose-perkunkiemyje-parduodamas-1-3379276/,"Pašilaičiai, Perkūnkiemio g.",149 000 €,2842€/m²,6/6,52.43,2
60,https://www.aruodas.lt/butai-vilniuje-visoriuose-fiziku-g-parduodamas-siltas-ir-sviesus-butas-hanner-1-3378494/,"Visoriai, Fizikų g.",170 000 €,2791€/m²,5/7,60.9,2
61,https://www.aruodas.lt/butai-vilniuje-virsuliskese-virsuliskiu-g-parduodamas-jaukus-kambariu-butas-1-3378248/,"Viršuliškės, Viršuliškių g.",187 000 €,4349€/m²,5/11,43,2
62,https://www.aruodas.lt/butai-vilniuje-jeruzaleje-baltupio-g-siltas-sviesus-ekonomiskas-ir-erdvus-butas-1-3349615/,"Jeruzalė, Baltupio g.",259 000 €,3120€/m²,4/5,83,3
63,https://www.aruodas.lt/butai-vilniuje-senamiestyje-sodu-g-parduodamas-butas-kvm-vilniaus-1-3378182/,"Senamiestis, Sodų g.",185 000 €,2284€/m²,2/2,81,4
64,https://www.aruodas.lt/butai-vilniuje-zveryne-sakalu-g-parduodamas-itin-sviesus-ir-jaukus-kambariu-1-3378076/,"Žvėrynas, Sakalų g.",280 000 €,4881€/m²,5/7,57.37,3
65,https://www.aruodas.lt/butai-vilniuje-justiniskese-taikos-g-parduodamas-ju-nepereinamu-k-butas-1-3377568/,"Justiniškės, Taikos g.",115 000 €,1706€/m²,2/9,67.39,3
66,https://www.aruodas.lt/butai-vilniuje-zemuosiuose-paneriuose-vaduvos-g-parduodamas-kambario-butas-zemuosiuose-1-3376454/,"Žemieji Paneriai, Vaduvos g.",75 000 €,1786€/m²,3/5,42,1
67,https://www.aruodas.lt/butai-vilniuje-baltupiuose-ozo-g-naujas-projektas-prie-ozo-paskirtis-1-3375894/,"Baltupiai, Ozo g.",188 000 €,3917€/m²,2/7,48,2
68,https://www.aruodas.lt/butai-vilniuje-bajoruose-salaspilio-g-butas-parduodamas-be-tarpininku-brokeriu-1-3375882/,"Bajorai, Salaspilio g.",209 000 €,3517€/m²,1/4,59.43,3
69,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-budiniskiu-g-brokeriu-paslaugos-nedomina-parduodamas-1-3376118/,"Pašilaičiai, Budiniškių g.",164 000 €,3814€/m²,2/4,43,2
70,https://www.aruodas.lt/butai-vilniuje-baltupiuose-trinapolio-g-be-tarpininku-nt-agentai-prasau-1-3375570/,"Baltupiai, Trinapolio g.",47 500 €,2375€/m²,7/12,20,1
71,https://www.aruodas.lt/butai-vilniuje-senamiestyje-pylimo-g-parduodamas-naujai-dizaineres-irengtas-1-3375124/,"Senamiestis, Pylimo g.",625 000 €,6146€/m²,2/3,101.7,3
72,https://www.aruodas.lt/butai-vilniuje-senamiestyje-j-basanaviciaus-g-modernus-kokybiskai-irengtas-butas-reformatu-1-3374160/,"Senamiestis, J. Basanavičiaus g.",555 000 €,7500€/m²,3/4,74,3
73,https://www.aruodas.lt/butai-vilniuje-zirmunuose-vito-gerulaicio-g-visiskai-naujai-irengtas-butas-hanner-1-3373580/,"Žirmūnai, Vito Gerulaičio g.",159 000 €,4097€/m²,1/5,38.81,2
74,https://www.aruodas.lt/butai-vilniuje-justiniskese-mozuriskiu-g-tarpininku-ir-nt-brokeriu-prasome-neskambinti-1-3373386/,"Justiniškės, Mozūriškių g.",200 000 €,2261€/m²,4/4,88.46,3
75,https://www.aruodas.lt/butai-vilniuje-zirmunuose-kalvariju-g-galima-pirkti-su-busto-paskola-1-3372840/,"Žirmūnai, Kalvarijų g.",99 500 €,4146€/m²,4/4,24,2
76,https://www.aruodas.lt/butai-vilniuje-visoriuose-fiziku-g-parduodamas-jaukiai-irengtas-butas-su-balkonu-1-3342531/,"Visoriai, Fizikų g.",169 000 €,3380€/m²,4/4,50,3
77,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-gerosios-vilties-g-parduodamas-kambariu-dizainerio-irengtas-1-3371286/,"Naujamiestis, Gerosios Vilties g.",199 000 €,4373€/m²,2/6,45.51,2
78,https://www.aruodas.lt/butai-vilniuje-pilaiteje-tvankstos-g-parduodas-irengtas-dvieju-kambariu-butas-su-1-3344658/,"Pilaitė, Tvankstos g.",159 900 €,3719€/m²,1/4,43,2
79,https://www.aruodas.lt/butai-vilniuje-senamiestyje-saltiniu-g-sis-butas-senamiestyje-tai-ramybes-oaze-su-1-3370424/,"Senamiestis, Šaltinių g.",690 000 €,4299€/m²,5/5,160.49,4
80,https://www.aruodas.lt/butai-vilniuje-zirmunuose-raitininku-g-tobula-vieta-gyventi-siuolaikiniam-miesto-1-3303661/,"Žirmūnai, Raitininkų g.",305 000 €,5966€/m²,4/7,51.12,2
81,https://www.aruodas.lt/butai-vilniuje-senamiestyje-traku-g-parduodamas-sviesus-ir-sausas-butas-vilniaus-1-3365768/,"Senamiestis, Trakų g.",163 000 €,4794€/m²,3/3,34,1
82,https://www.aruodas.lt/butai-vilniuje-senamiestyje-pylimo-g-senamiescio-sirdyje-kulturinio-paveldo-name-1-3365748/,"Senamiestis, Pylimo g.",500 000 €,7988€/m²,1/2,62.59,4
83,https://www.aruodas.lt/butai-vilniuje-bajoruose-bajoru-kel-ieskantiems-jaukumo-ir-ramios-aplinkos-1-3364219/,"Bajorai, Bajorų kel.",179 000 €,3161€/m²,5/6,56.62,2
84,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-perkunkiemio-g-1-3357803/,"Pašilaičiai, Perkūnkiemio g.",165 000 €,3113€/m²,7/8,53,2
85,https://www.aruodas.lt/butai-vilniuje-snipiskese-seimyniskiu-g-parduodamas-erdvus-bei-sviesus-kambariu-1-3291950/,"Šnipiškės, Šeimyniškių g.",360 000 €,3529€/m²,3/5,102,4
86,https://www.aruodas.lt/butai-vilniuje-seskineje-paberzes-g-parduodamas-erdvus-iu-kambariu-butas-1-3361225/,"Šeškinė, Paberžės g.",148 000 €,1619€/m²,1/9,91.44,4
87,https://www.aruodas.lt/butai-vilniuje-zveryne-studentu-g-parduodamas-naujai-irengtas-butasstudija-su-1-3360881/,"Žvėrynas, Studentų g.",84 000 €,4667€/m²,1/5,18,1
88,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-kauno-g-parduodamas-butas-namo-dalis-su-zeme-be-1-1969877/,"Naujamiestis, Kauno g.",186 000 €,2776€/m²,1/1,67,3
89,https://www.aruodas.lt/butai-vilniuje-zemuosiuose-paneriuose-umedziu-g-parduodamas-kambario-butas-umedziu-g-ne-1-3323981/,"Žemieji Paneriai, Ūmėdžių g.",71 900 €,2054€/m²,5/5,35,1
90,https://www.aruodas.lt/butai-vilniuje-senamiestyje-aludariu-g-parduodamas-dvieju-kambariu-butas-projekte-1-3328679/,"Senamiestis, Aludarių g.",345 000 €,6798€/m²,4/5,50.75,2
91,https://www.aruodas.lt/butai-vilniuje-zveryne-studentu-g-parduodamos-butas-zveryno-mikro-rajone-su-1-3356541/,"Žvėrynas, Studentų g.",220 000 €,4596€/m²,1/5,47.87,3
92,https://www.aruodas.lt/butai-vilniuje-senamiestyje-odminiu-g-butas-per-du-aukstus-stogas-apsiltintas-1-3356135/,"Senamiestis, Odminių g.",390 000 €,4377€/m²,3/3,89.11,3
93,https://www.aruodas.lt/butai-vilniuje-seskineje-seskines-g-itin-jaukus-erdvus-ir-sauletas-kamb-butas-1-3346563/,"Šeškinė, Šeškinės g.",238 000 €,2654€/m²,4/5,89.68,4
94,https://www.aruodas.lt/butai-vilniuje-paupyje-aukstaiciu-g-naujajame-ir-kone-populiariausiame-vilniaus-1-3355105/,"Paupys, Aukštaičių g.",279 000 €,6921€/m²,1/3,40.31,2
95,https://www.aruodas.lt/butai-vilniuje-senamiestyje-didzioji-g-1-3354927/,"Senamiestis, Didžioji g.",500 000 €,4492€/m²,3/3,111.3,4
96,https://www.aruodas.lt/butai-vilniuje-fabijoniskese-salomejos-neries-g-parduodamas-tvarkingas-sviesus-ir-svarus-1-3353839/,"Fabijoniškės, Salomėjos Nėries g.",128 000 €,2353€/m²,10/12,54.4,2
97,https://www.aruodas.lt/butai-vilniuje-snipiskese-kalvariju-g-galima-pirkti-su-busto-paskola-1-3351609/,"Šnipiškės, Kalvarijų g.",99 500 €,4146€/m²,4/4,24,2
98,https://www.aruodas.lt/butai-vilniuje-vilkpedeje-gerosios-vilties-g-naujai-suremontuotas-ir-irengtas-bendrabucio-1-3350259/,"Vilkpėdė, Gerosios Vilties g.",43 000 €,2389€/m²,5/5,18,1
99,https://www.aruodas.lt/butai-vilniuje-senamiestyje-m-dauksos-g-brokeriu-prasome-netrukdyti-parduodamas-1-3320105/,"Senamiestis, M. Daukšos g.",99 990 €,2618€/m²,1/2,38.2,2
100,https://www.aruodas.lt/butai-vilniuje-uzupyje-polocko-g-parduodamas-butas-su-zidiniu-netoli-uzupio-1-3316733/,"Užupis, Polocko g.",210 000 €,2338€/m²,1/2,89.81,2
101,https://www.aruodas.lt/butai-vilniuje-senamiestyje-sv-stepono-g-agenturos-paslaugos-nedomina-naujos-statybos-1-3347821/,"Senamiestis, Šv. Stepono g.",265 000 €,3985€/m²,1/4,66.5,3
102,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-pamenkalnio-g-parduodamas-unikalus-kambariu-butas-1-3346785/,"Naujamiestis, Pamėnkalnio g.",434 000 €,3239€/m²,3/4,134,6
103,https://www.aruodas.lt/butai-vilniuje-zveryne-kestucio-g-jaukios-auros-butas-su-moderniomis-sistemomis-1-3232852/,"Žvėrynas, Kęstučio g.",257 000 €,4145€/m²,2/3,62,2
104,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-pamenkalnio-g-parduodamas-unikalus-kambariu-butas-1-3346645/,"Naujamiestis, Pamėnkalnio g.",435 000 €,3219€/m²,4/4,135.15,6
105,https://www.aruodas.lt/butai-vilniuje-rasose-stadiono-g-centrineje-miesto-dalyje-parduodamas-kv-1-3345395/,"Rasos, Stadiono g.",119 900 €,1495€/m²,1/3,80.18,3
106,https://www.aruodas.lt/butai-vilniuje-lazdynuose-architektu-g-butas-lazdynuose-salia-neries-atodangos-1-3314103/,"Lazdynai, Architektų g.",122 000 €,2601€/m²,1/5,46.9,2
107,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-a-vivulskio-g-butas-lengvai-transformuojamas-i-dvieju-1-3343670/,"Naujamiestis, A. Vivulskio g.",180 000 €,4500€/m²,9/11,40,1
108,https://www.aruodas.lt/butai-vilniuje-paupyje-aukstaiciu-g-parduodamas-isskirtiniame-paupio-rajone-1-3338937/,"Paupys, Aukštaičių g.",259 500 €,7943€/m²,2/4,32.67,2
109,https://www.aruodas.lt/butai-vilniuje-visoriuose-fiziku-g-parduodamas-nuostabiai-irengtas-butas-1-3341921/,"Visoriai, Fizikų g.",270 000 €,3649€/m²,5/5,74,2
110,https://www.aruodas.lt/butai-vilniuje-zveryne-vytauto-g-siulome-jums-puikia-galimybe-isigyti-1-3341641/,"Žvėrynas, Vytauto g.",260 000 €,5966€/m²,1/2,43.58,2
111,https://www.aruodas.lt/butai-vilniuje-justiniskese-justiniskiu-g-parduodamas-kamb-naujai-irengtas-butas-1-3308881/,"Justiniškės, Justiniškių g.",169 000 €,2284€/m²,4/16,74,3
112,https://www.aruodas.lt/butai-vilniuje-karoliniskese-algimanto-petro-kavoliuko-g-parduodamas-butas-be-tarpininkugeras-1-3307973/,"Karoliniškės, Algimanto Petro Kavoliuko g.",128 000 €,1939€/m²,3/9,66,3
113,https://www.aruodas.lt/butai-vilniuje-senamiestyje-svitrigailos-g-parduodama-butai-uz-kaina-kartu-su-1-3235772/,"Senamiestis, Švitrigailos g.",255 000 €,4322€/m²,2/5,59,2
114,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-j-jasinskio-g-parduodamas-kokybiskai-ir-prabangiai-irengtas-1-3303615/,"Naujamiestis, J. Jasinskio g.",249 999 €,5767€/m²,4/6,43.35,2
115,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-eitminu-g-parduodamas-be-tarpininku-parduodamas-1-3303785/,"Pašilaičiai, Eitminų g.",149 999 €,3049€/m²,8/9,49.19,2
116,https://www.aruodas.lt/butai-vilniuje-antakalnyje-debesijos-g-unikalioje-zalioje-nepravaziuojamoje-vilniaus-1-3332241/,"Antakalnis, Debesijos g.",258 000 €,3000€/m²,3/6,86,4
117,https://www.aruodas.lt/butai-vilniuje-snipiskese-s-fino-g-parduodamas-butas-fino-g-butas-be-patogumu-1-3328043/,"Šnipiškės, S. Fino g.",85 000 €,1977€/m²,1/2,43,2
118,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-zemynos-g-be-tarpininku-parduodamas-ir-naujai-1-3325027/,"Pašilaičiai, Žemynos g.",145 900 €,2195€/m²,6/9,66.48,3
119,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-savanoriu-pr-kvieciame-isigyti-sviesu-ir-jauku-kambariu-1-3321169/,"Naujamiestis, Savanorių pr.",135 000 €,2455€/m²,4/4,55,3
120,https://www.aruodas.lt/butai-vilniuje-justiniskese-taikos-g-parduodamas-kambariu-m-butas-1-3323175/,"Justiniškės, Taikos g.",114 000 €,1857€/m²,9/9,61.4,3
121,https://www.aruodas.lt/butai-vilniuje-snipiskese-kalvariju-g-perkantiems-iki-naujuju-speciali-kaina-1-3322305/,"Šnipiškės, Kalvarijų g.",314 500 €,3835€/m²,2/2,82,4
122,https://www.aruodas.lt/butai-vilniuje-senamiestyje-bazilijonu-g-naujas-stilingas-prabangus-butas-prof-1-3203403/,"Senamiestis, Bazilijonų g.",335 000 €,6903€/m²,2/3,48.53,2
123,https://www.aruodas.lt/butai-vilniuje-fabijoniskese-fabijoniskiu-g-tik-kokybiskomis-medziagomis-irengtas-dvieju-1-3236884/,"Fabijoniškės, Fabijoniškių g.",180 000 €,3529€/m²,1/7,51,2
124,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-vasario-16-osios-g-parduodamas-dalines-apdailos-erdvus-butas-1-3314819/,"Naujamiestis, Vasario 16-osios g.",440 000 €,4000€/m²,5/5,110,4
125,https://www.aruodas.lt/butai-vilniuje-fabijoniskese-ateities-g-parduodamas-erdvus-ir-tvarkingas-kambariu-1-3288364/,"Fabijoniškės, Ateities g.",279 000 €,3247€/m²,3/6,85.93,3
126,https://www.aruodas.lt/butai-vilniuje-senamiestyje-aukstaiciu-g-per-graziausias-metu-sventes-nepamirskite-1-3388881/,"Senamiestis, Aukštaičių g.",278 730 €,5700€/m²,2/4,48.9,2
127,https://www.aruodas.lt/butai-vilniuje-vilkpedeje-eiguliu-g-isskirtinio-projekto-revingis-pirmajame-etape-1-3389267/,"Vilkpėdė, Eigulių g.",410 000 €,4168€/m²,6/6,98.37,4
