ESRI_OID,workplace_code,workplace_name,activity_evrk2,municipality,county,employees,immunised_percent,percentile_1,percentile_2,as_of_date
20,110057869,"Akcinė draudimo bendrovė ""Gjensidige""",651200,Vilniaus m. sav.,Vilniaus apskr.,465,90-100%,66,68,2022-03-20
21,110058241,Lietuvos pramonininkų konfederacija,941100,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,57,58,2022-03-20
22,110059496,"Viešoji įstaiga ""Lietuvos laisvosios rinkos institutas""",732000,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
23,110060655,"Viešoji įstaiga automobilių sporto klubas ""Kaukaras""",452000,Vilniaus m. sav.,Vilniaus apskr.,10,80-89%,30,32,2022-03-20
24,110061038,Asociacija LATGA,949900,Vilniaus m. sav.,Vilniaus apskr.,35,90-100%,77,79,2022-03-20
25,110062097,"Uždaroji akcinė bendrovė draudimo kompanija ""LAMANTINAS""",651200,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
26,110066875,Viešoji įstaiga LIETUVOS INOVACIJŲ CENTRAS,691030,Vilniaus m. sav.,Vilniaus apskr.,45,90-100%,82,85,2022-03-20
27,110067443,Pakruojo ūkininkų kredito unija,641900,Pakruojo r. sav.,Šiaulių apskr.,10,90-100%,100,100,2022-03-20
28,110067596,"Šiaulių prekybos, pramonės ir amatų rūmai",941100,Šiaulių m. sav.,Šiaulių apskr.,10,90-100%,100,100,2022-03-20
29,110067639,"Vilniaus prekybos, pramonės ir amatų rūmai",702200,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,57,58,2022-03-20
30,110067781,"Klaipėdos prekybos, pramonės ir amatų rūmai",941100,Klaipėdos m. sav.,Klaipėdos apskr.,10,90-100%,100,100,2022-03-20
31,110067977,"Panevėžio prekybos, pramonės ir amatų rūmai",941100,Panevėžio m. sav.,Panevėžio apskr.,10,90-100%,100,100,2022-03-20
32,110068011,VšĮ Valdymo koordinavimo centras,841100,Vilniaus m. sav.,Vilniaus apskr.,20,90-100%,100,100,2022-03-20
33,110068545,"Kauno prekybos, pramonės ir amatų rūmai",941100,Kauno m. sav.,Kauno apskr.,25,90-100%,100,100,2022-03-20
34,110068730,"Akcinė bendrovė ""Pagirių šiltnamiai""",011340,Vilniaus r. sav.,Vilniaus apskr.,15,90-100%,100,100,2022-03-20
35,110068926,Valstybės įmonė Statybos produkcijos sertifikavimo centras,712070,Vilniaus m. sav.,Vilniaus apskr.,35,90-100%,46,47,2022-03-20
36,110069451,"Valstybės įmonė ""Indėlių ir investicijų draudimas""",841100,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,100,100,2022-03-20
37,110070044,"Viešoji įstaiga sanatorija ""Belorus""",861030,Druskininkų sav.,Alytaus apskr.,300,90-100%,70,,2022-03-20
38,110076079,"UAB ""Būsto paskolų draudimas""",662100,Vilniaus m. sav.,Vilniaus apskr.,20,90-100%,58,60,2022-03-20
39,110078991,"Valstybės įmonė ""REGITRA""",841300,Vilniaus m. sav.,Vilniaus apskr.,555,90-100%,89,92,2022-03-20
40,110080729,Akcinė bendrovė Giraitės ginkluotės gamykla,254000,Kauno r. sav.,Kauno apskr.,95,90-100%,52,54,2022-03-20
41,110081788,"Gyvybės draudimo UAB ""SB draudimas""",651100,Vilniaus m. sav.,Vilniaus apskr.,40,90-100%,100,100,2022-03-20
42,110082737,"UAB ""PZU LIETUVA GYVYBĖS DRAUDIMAS""",651100,Vilniaus m. sav.,Vilniaus apskr.,90,90-100%,48,49,2022-03-20
43,110083262,JURBARKO KREDITO UNIJA,641900,Jurbarko r. sav.,Tauragės apskr.,15,90-100%,55,57,2022-03-20
44,110084026,"UŽDAROJI AKCINĖ BENDROVĖ ""INVESTICIJŲ IR VERSLO GARANTIJOS""",841300,Vilniaus m. sav.,Vilniaus apskr.,105,90-100%,75,77,2022-03-20
45,110086034,LIETUVOS CENTRINĖ KREDITO UNIJA,641900,Kauno m. sav.,Kauno apskr.,80,90-100%,79,81,2022-03-20
46,110086568,Raseinių kredito unija,641900,Kauno r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
47,110087517,"Uždaroji akcinė bendrovė ""Visagino energija""",353000,Visagino sav.,Utenos apskr.,190,90-100%,82,84,2022-03-20
48,110088042,IGNALINOS KREDITO UNIJA,641900,Ignalinos r. sav.,Utenos apskr.,15,90-100%,57,58,2022-03-20
49,110088957,Mažeikių kredito unija,641900,Mažeikių r. sav.,Telšių apskr.,10,90-100%,100,100,2022-03-20
50,110090837,Viešoji įstaiga Baltijos aplinkos forumas,702200,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,49,50,2022-03-20
51,110165745,"UAB ""SALVIJOS"" MEDICINOS CENTRAS",862200,Klaipėdos m. sav.,Klaipėdos apskr.,60,90-100%,50,,2022-03-20
52,110165898,"Uždaroji akcinė bendrovė ""FRAGRANCES INTERNATIONAL""",464500,Vilniaus m. sav.,Vilniaus apskr.,35,90-100%,100,100,2022-03-20
53,110167753,"UAB ""ALTA transportas""",494100,Kauno m. sav.,Kauno apskr.,190,80-89%,29,30,2022-03-20
54,110178963,Linde Gas UAB,467500,Vilniaus m. sav.,Vilniaus apskr.,25,90-100%,68,70,2022-03-20
55,110179684,UŽDAROJI AKCINĖ BENDROVĖ ABB,466900,Vilniaus r. sav.,Vilniaus apskr.,75,90-100%,90,92,2022-03-20
56,110185819,"Uždaroji akcinė bendrovė ""V. PAULIUS & ASSOCIATES""",412010,Klaipėdos m. sav.,Klaipėdos apskr.,35,90-100%,46,48,2022-03-20
57,110187827,"Uždaroji akcinė bendrovė ""ELECTROLUX""",464300,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,100,100,2022-03-20
58,110189835,"Uždaroji akcinė bendrovė ""Delta Management Solutions""",782000,Vilniaus m. sav.,Vilniaus apskr.,60,90-100%,100,100,2022-03-20
59,110193723,"Uždaroji akcinė bendrovė ""PALINK""",471100,Vilniaus m. sav.,Vilniaus apskr.,5985,90-100%,69,71,2022-03-20
60,110199943,"UAB ""ALSO Lietuva""",465100,Kauno r. sav.,Kauno apskr.,170,90-100%,80,83,2022-03-20
61,110241050,Gedeon Richter Plc. atstovybė Lietuvoje,212010,Vilniaus m. sav.,Vilniaus apskr.,25,90-100%,100,100,2022-03-20
62,110301113,"UAB ""VETA""",462100,Vilniaus m. sav.,Vilniaus apskr.,25,80-89%,37,38,2022-03-20
63,110302215,"Uždaroji akcinė bendrovė ""Klaipėdos Viktorija""",682000,Klaipėdos m. sav.,Klaipėdos apskr.,25,90-100%,64,66,2022-03-20
64,110309494,"Lietuvos ir Vengrijos uždaroji akcinė bendrovė ""BRAČA-SPORT""",222900,Kauno m. sav.,Kauno apskr.,65,90-100%,53,54,2022-03-20
65,110312519,"Uždaroji akcinė bendrovė ""ELKLITA""",466900,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
66,110312661,"Uždaroji akcinė bendrovė ""DELTA TOURS""",791100,Kauno m. sav.,Kauno apskr.,15,90-100%,52,54,2022-03-20
67,110320619,"Uždaroji akcinė bendrovė ""BALTIC AMADEUS""",620100,Vilniaus m. sav.,Vilniaus apskr.,210,90-100%,99,99,2022-03-20
68,110323729,"Uždaroji akcinė bendrovė ""MEDITA""",464600,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
69,110332920,"Lietuvos ir Suomijos uždaroji akcinė bendrovė ""Architektūros linija""",711100,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,40,42,2022-03-20
70,110337853,"Uždaroji akcinė bendrovė ""SKORPIONO TAKAS""",464900,Panevėžio m. sav.,Panevėžio apskr.,45,90-100%,83,85,2022-03-20
71,110342843,"UŽDAROJI AKCINĖ BENDROVĖ ""INTERVILŽA""",222300,Vilniaus m. sav.,Vilniaus apskr.,45,80-89%,32,33,2022-03-20
72,110353672,"UAB ""Vileka""",412000,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
73,110355919,"UAB ""AVADAN""",141400,Marijampolės sav.,Marijampolės apskr.,215,90-100%,75,78,2022-03-20
74,110356825,"Uždaroji akcinė bendrovė ""BNS""",639100,Vilniaus m. sav.,Vilniaus apskr.,40,90-100%,100,100,2022-03-20
75,110359369,"Uždaroji akcinė bendrovė ""VOLLIT""",477830,Šiaulių m. sav.,Šiaulių apskr.,15,90-100%,50,52,2022-03-20
76,110360528,"UAB ""DOJUS agro""",466100,Vilniaus m. sav.,Vilniaus apskr.,60,90-100%,71,74,2022-03-20
77,110362493,"Lietuvos ir Vokietijos uždaroji akcinė bendrovė ""FESLA""",331300,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,40,42,2022-03-20
78,110365450,"AMBER DISTRIBUTION LITHUANIA, UAB",463410,Vilniaus m. sav.,Vilniaus apskr.,315,90-100%,66,68,2022-03-20
79,110370974,"Uždaroji akcinė bendrovė ""TOGA FMG""",259900,Elektrėnų sav.,Vilniaus apskr.,20,80-89%,27,28,2022-03-20
80,110378330,"UAB ""SISTEM""",014600,Kauno m. sav.,Kauno apskr.,20,90-100%,63,65,2022-03-20
81,110378711,"Bendra Lietuvos - JAV įmonė uždaroji akcinė bendrovė ""MEDICAL TECHNOLOGIES LBI""",325000,Kauno m. sav.,Kauno apskr.,50,90-100%,85,87,2022-03-20
82,110379432,"Uždaroji akcinė bendrovė ""Naujasis Vilnius""",551000,Vilniaus m. sav.,Vilniaus apskr.,40,90-100%,58,60,2022-03-20
83,110382414,"Lietuvos ir Prancūzijos uždaroji akcinė bendrovė ""Eurolinen""",131000,Vilniaus m. sav.,Vilniaus apskr.,30,90-100%,53,54,2022-03-20
84,110383288,"UAB ""LTP""",141300,Kauno m. sav.,Kauno apskr.,380,90-100%,85,87,2022-03-20
85,110384422,UAB Henkell Freixenet Lietuva,463410,Kauno m. sav.,Kauno apskr.,30,90-100%,100,100,2022-03-20
86,110390133,"UAB ""SIGMA TELAS""",620100,Vilniaus m. sav.,Vilniaus apskr.,40,80-89%,38,39,2022-03-20
87,110394345,"Bendra Lietuvos ir Vokietijos įmonė uždaroji akcinė bendrovė ""BALTIC SIGN""",259900,Kauno m. sav.,Kauno apskr.,10,90-100%,44,46,2022-03-20
88,110395066,"UAB ""Litbana""",463100,Vilniaus m. sav.,Vilniaus apskr.,70,90-100%,56,57,2022-03-20
89,110395970,"UAB ""ELGAMA-ELEKTRONIKA""",265100,Vilniaus m. sav.,Vilniaus apskr.,80,90-100%,100,100,2022-03-20
90,110396887,"Bendra Lietuvos ir Švedijos įmonė uždaroji akcinė bendrovė ""TINDRA""",141300,Kauno m. sav.,Kauno apskr.,60,90-100%,100,100,2022-03-20
91,110403050,"Uždaroji akcinė bendrovė ""FOLIS""",466900,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,100,100,2022-03-20
92,110404729,SOVETA BALTICA UAB,325000,Vilniaus m. sav.,Vilniaus apskr.,20,90-100%,100,100,2022-03-20
93,110407458,"Uždaroji akcinė bendrovė ""BERLIN CHEMIE MENARINI BALTIC""",464600,Vilniaus m. sav.,Vilniaus apskr.,65,90-100%,100,100,2022-03-20
94,110413888,"UAB ""Werfen LT""",464600,Kauno m. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
95,110418668,"""Ekoterma"", UAB",282500,Kauno r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
96,110430994,"Uždaroji akcinė bendrovė ""MOLLER AUTO""",451100,Vilniaus m. sav.,Vilniaus apskr.,110,90-100%,100,100,2022-03-20
97,110433047,"UAB ""Mida LT""",239900,Klaipėdos r. sav.,Klaipėdos apskr.,85,90-100%,100,100,2022-03-20
98,110437597,"Uždaroji akcinė bendrovė ""Baltic Clipper""",791100,Vilniaus m. sav.,Vilniaus apskr.,55,90-100%,86,88,2022-03-20
99,110438350,"UAB ""TELEKOMSERVISAS""",465200,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,54,55,2022-03-20
100,110443493,"UAB ""SANITEX""",463900,Kauno m. sav.,Kauno apskr.,1195,90-100%,83,86,2022-03-20
101,110443689,"Uždaroji akcinė bendrovė ""ARDITA IR KO""",463300,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
102,110458043,"Bendra Lietuvos ir Ukrainos įmonė uždaroji akcinė bendrovė ""AZOVLITAS""",467200,Kauno m. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
103,110461363,"Uždaroji akcinė bendrovė ""VESTEKSPRESS""",791100,Vilniaus m. sav.,Vilniaus apskr.,115,90-100%,95,97,2022-03-20
104,110461897,"UAB ""Zigzag Travel""",791100,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
105,110463186,"Uždaroji akcinė bendrovė ""Vilpra""",467400,Vilniaus m. sav.,Vilniaus apskr.,180,90-100%,87,89,2022-03-20
106,110466481,Comco UAB,139200,Šiaulių m. sav.,Šiaulių apskr.,75,90-100%,100,100,2022-03-20
107,110469591,"Lietuvos - Vokietijos uždaroji akcinė bendrovė ""LITGENAS""",016200,Kauno m. sav.,Kauno apskr.,20,90-100%,100,100,2022-03-20
108,110471471,"Bendra Lietuvos-Čekijos įmonė uždaroji akcinė bendrovė ""KAMION""",107100,Vilniaus r. sav.,Vilniaus apskr.,10,80-89%,32,33,2022-03-20
109,110474243,"Uždaroji akcinė bendrovė ""EUROELEKTRONIKA""",432100,Kauno m. sav.,Kauno apskr.,80,90-100%,48,49,2022-03-20
110,110474962,"UAB ""Danbalt International""",477200,Vilniaus m. sav.,Vilniaus apskr.,170,90-100%,80,82,2022-03-20
111,110484732,"Uždaroji akcinė bendrovė ""VITULA""",161000,Utenos r. sav.,Utenos apskr.,45,90-100%,100,100,2022-03-20
112,110498671,"UAB ""ILSANTA""",464600,Vilniaus m. sav.,Vilniaus apskr.,20,90-100%,100,100,2022-03-20
113,110500599,"UAB ""ACME Film""",591300,Kauno m. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
114,110503937,"Uždaroji akcinė bendrovė ""DENTICIJA""",862300,Vilniaus m. sav.,Vilniaus apskr.,55,90-100%,86,,2022-03-20
115,110504843,"Uždaroji akcinė bendrovė ""BALTIKA LIETUVA""",477100,Vilniaus m. sav.,Vilniaus apskr.,45,90-100%,100,100,2022-03-20
116,110506132,"UAB ""PHILIP MORRIS LIETUVA""",120000,Klaipėdos m. sav.,Klaipėdos apskr.,550,90-100%,50,52,2022-03-20
117,110512039,"Uždaroji akcinė bendrovė ""RIVONA""",463900,Vilniaus m. sav.,Vilniaus apskr.,1050,90-100%,55,57,2022-03-20
118,110514951,"Bendra Lietuvos-Čekijos įmonė uždaroji akcinė bendrovė ""ARX""",451100,Vilniaus m. sav.,Vilniaus apskr.,20,90-100%,44,46,2022-03-20
119,110517680,"Uždaroji akcinė bendrovė ""VILTECHMEDA""",325000,Vilniaus m. sav.,Vilniaus apskr.,110,90-100%,94,96,2022-03-20
120,110518825,"Bendra Lietuvos ir Vokietijos įmonė uždaroji akcinė bendrovė ""IS FASHION BALTIC""",141300,Kauno m. sav.,Kauno apskr.,25,90-100%,100,100,2022-03-20
121,110522147,"Bendra Lietuvos-Vokietijos įmonė uždaroji akcinė bendrovė ""BANKSERVIS""",332000,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
122,110528890,"UAB ""KEŠPEDA""",494100,Palangos m. sav.,Klaipėdos apskr.,10,80-89%,29,30,2022-03-20
123,110530770,"UAB ""LITCARGUS""",522300,Vilniaus m. sav.,Vilniaus apskr.,295,90-100%,76,78,2022-03-20
124,110533738,"Lietuvos-Vokietijos uždaroji akcinė bendrovė ""VEKA AUTO""",494100,Trakų r. sav.,Vilniaus apskr.,15,80-89%,36,37,2022-03-20
125,110534078,"Uždaroji akcinė bendrovė ""Švytis""",682000,Tauragės r. sav.,Tauragės apskr.,10,90-100%,100,100,2022-03-20
126,110535550,DSV Lithuania UAB,522920,Vilniaus m. sav.,Vilniaus apskr.,115,90-100%,100,100,2022-03-20
127,110537569,"Uždaroji akcinė bendrovė ""AD REM""",522920,Vilniaus m. sav.,Vilniaus apskr.,25,90-100%,100,100,2022-03-20
128,110541076,"Bendra Lietuvos ir Prancūzijos įmonė uždaroji akcinė bendrovė ""SOFRALITA""",464200,Kauno m. sav.,Kauno apskr.,45,90-100%,83,85,2022-03-20
129,110541642,"Uždaroji akcinė bendrovė ""POLITECA""",251100,Vilniaus m. sav.,Vilniaus apskr.,30,90-100%,100,100,2022-03-20
130,110544229,"AB ""LITEKSAS""",139200,Kauno m. sav.,Kauno apskr.,115,90-100%,62,64,2022-03-20
131,110545669,"UAB ""StrongPoint""",620100,Vilniaus m. sav.,Vilniaus apskr.,150,90-100%,90,92,2022-03-20
132,110547862,"UAB ""Joglė LT""",960100,Alytaus m. sav.,Alytaus apskr.,110,90-100%,52,54,2022-03-20
133,110548779,"Uždaroji akcinė bendrovė ""AGROCHEMA""",467500,Jonavos r. sav.,Kauno apskr.,340,90-100%,58,60,2022-03-20
134,110549870,"Lietuvos ir Kazachstano uždaroji akcinė bendrovė ""KAZAMETA""",682000,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,40,42,2022-03-20
135,110552090,"Lietuvos-Anglijos uždaroji akcinė bendrovė ""Jadecloud-Vilma""",141300,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,54,55,2022-03-20
136,110553420,"Lietuvos-Vokietijos-Lenkijos uždaroji akcinė bendrovė ""INEZA""",204200,Vilniaus m. sav.,Vilniaus apskr.,40,90-100%,79,81,2022-03-20
137,110559074,"Bendra Lietuvos - Vokietijos įmonė uždaroji akcinė bendrovė ""TOMETA""",141300,Kauno m. sav.,Kauno apskr.,15,80-89%,38,39,2022-03-20
138,110560571,"Bendra Lietuvos - Rusijos įmonė uždaroji akcinė bendrovė ""IRONA""",259900,Kauno r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
139,110561292,"UAB ""Agapics""",464900,Vilniaus m. sav.,Vilniaus apskr.,25,90-100%,100,100,2022-03-20
140,110564826,"IOCO Packaging, UAB",222200,Panevėžio m. sav.,Panevėžio apskr.,125,90-100%,79,82,2022-03-20
141,110569182,"Lietuvos ir Norvegijos uždaroji akcinė bendrovė ""KNUT""",432200,Vilniaus m. sav.,Vilniaus apskr.,15,80-89%,35,36,2022-03-20
142,110570875,UAB Sparta Textile,141400,Kazlų Rūdos sav.,Marijampolės apskr.,210,90-100%,84,87,2022-03-20
143,110571062,"Uždaroji akcinė bendrovė ""SCHINDLER-LIFTAS""",432900,Vilniaus m. sav.,Vilniaus apskr.,90,90-100%,100,100,2022-03-20
144,110572926,"Bendra Lietuvos ir Vokietijos įmonė uždaroji akcinė bendrovė ""THURINGIA MEGAPLAST - UKMERGĖ""",222300,Ukmergės r. sav.,Vilniaus apskr.,10,80-89%,33,34,2022-03-20
145,110579290,"UAB ""Eternit Baltic""",236500,Akmenės r. sav.,Šiaulių apskr.,340,90-100%,66,68,2022-03-20
146,110580798,UAB Baltijos ir Amerikos terapijos ir chirurgijos klinika,862200,Vilniaus m. sav.,Vilniaus apskr.,265,90-100%,93,,2022-03-20
147,110582272,"UAB ""Norsvin Lietuva""",014600,Kaišiadorių r. sav.,Kauno apskr.,10,90-100%,46,48,2022-03-20
148,110583940,"Uždaroji akcinė bendrovė ""SAEGEWERK UND PALETTENFERTIGUNG PAUL MAAG""",161000,Kauno r. sav.,Kauno apskr.,55,80-89%,28,28,2022-03-20
149,110584095,"Lietuvos ir Vokietijos uždaroji akcinė bendrovė ""Tuvlita""",712050,Vilniaus m. sav.,Vilniaus apskr.,195,90-100%,73,75,2022-03-20
150,110584280,"UAB ""HNIT-BALTIC""",620100,Vilniaus m. sav.,Vilniaus apskr.,55,90-100%,100,100,2022-03-20
151,110587629,"UAB ""JCDecaux LIETUVA""",731100,Vilniaus m. sav.,Vilniaus apskr.,45,90-100%,81,83,2022-03-20
152,110589594,"UAB ""Eligita""",463800,Kauno m. sav.,Kauno apskr.,30,90-100%,100,100,2022-03-20
153,110589822,"LIETUVOS-ŠVEDIJOS UŽDAROJI AKCINĖ BENDROVĖ ""INTERSCALIT""",139200,Šiaulių m. sav.,Šiaulių apskr.,215,90-100%,80,82,2022-03-20
154,110590949,"UAB ""Tokvila""",451100,Vilniaus m. sav.,Vilniaus apskr.,90,90-100%,93,95,2022-03-20
155,110591289,"UADBB ""Aon Baltic""",662200,Kauno m. sav.,Kauno apskr.,185,90-100%,93,95,2022-03-20
156,110596635,"UAB ""RUSKO""",494100,Vilniaus m. sav.,Vilniaus apskr.,25,80-89%,38,39,2022-03-20
157,110599026,"Bendra Lietuvos ir Latvijos įmonė uždaroji akcinė bendrovė ""DANVITA""",107200,Zarasų r. sav.,Utenos apskr.,90,90-100%,93,95,2022-03-20
158,110599930,UAB Baltik vairas,309200,Šiaulių m. sav.,Šiaulių apskr.,620,90-100%,70,72,2022-03-20
159,110600037,"UAB ""RYTVITA""",466100,Vilkaviškio r. sav.,Marijampolės apskr.,20,90-100%,62,64,2022-03-20
160,110600222,"Uždaroji akcinė bendrovė ""AVE-MATROX""",521000,Kauno m. sav.,Kauno apskr.,20,90-100%,100,100,2022-03-20
161,110603713,"Uždaroji akcinė bendrovė ""AUDIOTONAS""",464300,Kauno m. sav.,Kauno apskr.,30,90-100%,100,100,2022-03-20
162,110604391,"Lietuvos ir Vokietijos uždaroji akcinė bendrovė ""HI-STEEL""",255000,Kauno m. sav.,Kauno apskr.,145,90-100%,60,62,2022-03-20
163,110604772,"Bendra Lietuvos-Vokietijos įmonė uždaroji akcinė bendrovė ""LITALKA-ELEKTRONIK""",275100,Alytaus m. sav.,Alytaus apskr.,160,90-100%,85,87,2022-03-20
164,110604815,"UAB ""ELKO Lietuva""",731100,Kauno m. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
165,110606257,"UAB ""AC NIELSEN BALTICS""",732000,Vilniaus m. sav.,Vilniaus apskr.,120,90-100%,79,81,2022-03-20
166,110607697,"Uždaroji akcinė bendrovė ""Forsija""",494100,Kauno m. sav.,Kauno apskr.,15,90-100%,100,100,2022-03-20
167,110607882,"Bendra Lietuvos ir Danijos įmonė uždaroji akcinė bendrovė ""Lautra Motors""",451100,Vilniaus m. sav.,Vilniaus apskr.,20,90-100%,100,100,2022-03-20
168,110608112,"Uždaroji akcinė bendrovė ""Interlux""",464610,Vilniaus m. sav.,Vilniaus apskr.,45,90-100%,83,85,2022-03-20
169,110614357,"UAB bendra Lietuvos-Austrijos įmonė ""Siloritas""",467400,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
170,110616746,"Bendra Lietuvos ir Vokietijos įmonė uždaroji akcinė bendrovė ""KISTELA""",561000,Trakų r. sav.,Vilniaus apskr.,40,90-100%,78,81,2022-03-20
171,110617848,"UŽDAROJI AKCINĖ BENDROVĖ ""UCOBAS""",561000,Vilniaus m. sav.,Vilniaus apskr.,45,80-89%,40,41,2022-03-20
172,110624846,"UAB ""Olkusjana""",101100,Šalčininkų r. sav.,Vilniaus apskr.,45,90-100%,51,53,2022-03-20
173,110629430,"Lietuvos, Latvijos ir Estijos uždaroji akcinė bendrovė ""LESLAT""",432200,Kauno m. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
174,110629811,"Uždaroji akcinė bendrovė ""SAREME""",466900,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,100,100,2022-03-20
175,110630219,"Uždaroji akcinė bendrovė ""Baltijos gėrimai""",471100,Joniškio r. sav.,Šiaulių apskr.,135,90-100%,73,76,2022-03-20
176,110634420,"UŽDAROJI AKCINĖ BENDROVĖ ""VYTARO TRANSPORTAS""",494100,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
177,110639887,"Akcinė bendrovė ""PLASTA""",222200,Vilniaus m. sav.,Vilniaus apskr.,405,90-100%,91,93,2022-03-20
178,110643241,"UAB Kauno ""Žalgirio"" jachtklubas",682000,Kauno m. sav.,Kauno apskr.,10,90-100%,46,48,2022-03-20
179,110644539,"UAB ""HOKLA""",451100,Klaipėdos m. sav.,Klaipėdos apskr.,30,90-100%,71,73,2022-03-20
180,110648893,"Akcinė bendrovė ""Klaipėdos nafta""",522400,Klaipėdos m. sav.,Klaipėdos apskr.,345,90-100%,59,61,2022-03-20
181,110652977,"Littelfuse LT, UAB",293100,Kauno m. sav.,Kauno apskr.,625,90-100%,55,57,2022-03-20
182,110655934,"UAB ""InComSystems""",466900,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
183,110657038,"Uždaroji akcinė bendrovė ""Spalda""",181200,Kauno m. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
184,110658510,"Uždaroji akcinė bendrovė ""VANDENS MALŪNAS""",561000,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,46,48,2022-03-20
